Timestamp,TP9,AF7,AF8,TP10,RightAUX
1732201843.319993,-165.0390625,-158.203125,-803.7109375,-178.22265625,0.0
1732201843.3238983,-162.109375,-150.87890625,-834.9609375,-183.59375,0.0
1732201843.3278039,-163.0859375,-79.58984375,-543.9453125,-189.94140625,0.0
1732201843.3317094,-155.76171875,-85.44921875,-445.3125,-174.31640625,0.0
1732201843.335615,-149.4140625,-129.8828125,-554.6875,-172.36328125,0.0
1732201843.3395205,-134.27734375,-133.7890625,-569.82421875,-179.6875,0.0
1732201843.3434317,-121.09375,-126.953125,-475.5859375,-166.9921875,0.0
1732201843.3473372,-120.60546875,-131.34765625,-431.15234375,-157.2265625,0.0
1732201843.3512428,-131.8359375,-139.16015625,-418.9453125,-153.3203125,0.0
1732201843.3551483,-136.23046875,-129.39453125,-335.9375,-146.97265625,0.0
1732201843.3590539,-123.53515625,-126.46484375,-394.53125,-165.0390625,0.0
1732201843.3629591,-112.3046875,-145.01953125,-515.625,-168.9453125,0.0
1732201843.3668647,-121.58203125,-170.41015625,-606.93359375,-156.25,0.0
1732201843.3707702,-123.53515625,-131.34765625,-437.01171875,-146.97265625,0.0
1732201843.3746758,-121.58203125,-92.7734375,-197.75390625,-141.6015625,0.0
1732201843.3785813,-128.41796875,-134.27734375,-348.14453125,-149.4140625,0.0
1732201843.3824868,-114.2578125,-147.4609375,-421.875,-153.80859375,0.0
1732201843.3863924,-133.30078125,-118.1640625,-282.71484375,-137.20703125,0.0
1732201843.3903031,-178.22265625,-113.28125,-87.890625,-133.7890625,0.0
1732201843.3942087,-196.2890625,-145.01953125,-176.7578125,-145.99609375,0.0
1732201843.3981142,-179.19921875,-157.71484375,-322.265625,-155.2734375,0.0
1732201843.4020197,-165.52734375,-137.6953125,-223.6328125,-174.31640625,0.0
1732201843.4059253,-169.921875,-131.34765625,-101.07421875,-156.25,0.0
1732201843.4098306,-206.0546875,-154.296875,-193.359375,-146.97265625,0.0
1732201843.413736,-208.0078125,-134.27734375,-201.66015625,-166.9921875,0.0
1732201843.4176416,-235.83984375,-93.75,59.5703125,-170.41015625,0.0
1732201843.4215472,-266.11328125,-120.1171875,-35.15625,-164.0625,0.0
1732201843.4254527,-258.30078125,-126.46484375,-62.01171875,-159.66796875,0.0
1732201843.4293582,-289.55078125,-106.4453125,95.21484375,-152.83203125,0.0
1732201843.4332638,-300.78125,-90.33203125,259.765625,-152.83203125,0.0
1732201843.4371772,-300.29296875,-100.09765625,246.58203125,-141.11328125,0.0
1732201843.4410825,-314.453125,-116.69921875,169.43359375,-138.18359375,0.0
1732201843.444988,-308.59375,-103.515625,202.63671875,-152.83203125,0.0
